Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
alovoa,com.nonononoki.alovoa.html,ProfileResourceTest,before,Long Statement,The length of the statement "Mockito.when(mailService.sendMail(Mockito.any(String.class)`any(String.class)`any(String.class)`any(String.class))).thenReturn(true);" is 133.,65
alovoa,com.nonononoki.alovoa.html,DeleteAccountResourceTest,before,Long Statement,The length of the statement "Mockito.when(mailService.sendMail(Mockito.any(String.class)`any(String.class)`any(String.class)`any(String.class))).thenReturn(true);" is 133.,65
alovoa,com.nonononoki.alovoa.html,InfoResource,imprint,Long Statement,The length of the statement "mav.addObject("info"`objectMapper.writeValueAsString(InfoDto.builder().numConfirmedUsers(userRepo.countByConfirmed(true)).numFemaleUser(userRepo.countByConfirmedAndGenderId(true`Tools.GENDER_FEMALE_ID)).numMaleUsers(userRepo.countByConfirmedAndGenderId(true`Tools.GENDER_MALE_ID)).numLikes(userLikeRepo.count()).numMatches(conversationRepo.count()).build()));" is 359.,31
alovoa,com.nonononoki.alovoa.html,NotificationResource,notification,Long Statement,The length of the statement "boolean blockedMe=user.getBlockedByUsers().stream().anyMatch(b -> b.getUserFrom().getId().equals(n.getUserFrom().getId()));" is 123.,41
alovoa,com.nonononoki.alovoa.html,DislikedUsersResource,dislikedUsers,Long Statement,The length of the statement "List<User> dislikedUsers=userDislikes.stream().sorted(Comparator.comparing(UserHide::getDate).reversed()).limit(MAX_RESULTS).map(b -> b.getUserTo()).collect(Collectors.toList());" is 178.,38
alovoa,com.nonononoki.alovoa.html,BlockedUsersResource,blockedUsers,Long Statement,The length of the statement "List<User> blockedUsers=userBlocks.stream().sorted(Comparator.comparing(UserBlock::getDate).reversed()).limit(MAX_RESULTS).map(b -> b.getUserTo()).collect(Collectors.toList());" is 176.,38
alovoa,com.nonononoki.alovoa.html,SearchResource,search,Complex Conditional,The conditional expression !user.isAdmin() && user.getProfilePicture() == null && user.getDescription() == null is complex.,46
alovoa,com.nonononoki.alovoa.html,AdminVerificationResource,admin,Long Statement,The length of the statement "List<UserVerificationPicture> verificationPictures=userVerificationPictureRepo.findTop20ByVerifiedByAdminFalseOrderByDateAsc();" is 127.,40
alovoa,com.nonononoki.alovoa.html,LikedUsersResource,likedUsers,Long Statement,The length of the statement "List<User> likedUsers=userLikes.stream().sorted(Comparator.comparing(UserLike::getDate).reversed()).limit(MAX_RESULTS).map(b -> b.getUserTo()).collect(Collectors.toList());" is 172.,38
alovoa,com.nonononoki.alovoa.html,ProfileResource,profile,Long Statement,The length of the statement "if (user.getDates().getIntentionChangeDate() == null || now.getTime() >= user.getDates().getIntentionChangeDate().getTime() + intentionDelay) {" is 143.,58
alovoa,com.nonononoki.alovoa.html,ProfileResource,getWarnings,Long Statement,The length of the statement "return ProfileWarningDto.builder().hasWarning(hasWarning).noDescription(noDescription).noGender(noGender).noIntention(noIntention).noLocation(noLocation).noProfilePicture(noProfilePicture).build();" is 197.,121
alovoa,com.nonononoki.alovoa.service,SearchAndMessageServiceTest,before,Long Statement,The length of the statement "Mockito.when(mailService.sendMail(Mockito.any(String.class)`any(String.class)`any(String.class)`any(String.class))).thenReturn(true);" is 133.,118
alovoa,com.nonononoki.alovoa.service,SearchAndMessageServiceTest,test,Long Method,The method has 199 lines of code.,131
alovoa,com.nonononoki.alovoa.service,SearchAndMessageServiceTest,test,Magic Number,The method contains a magic number: 2,131
alovoa,com.nonononoki.alovoa.service,SearchAndMessageServiceTest,test,Magic Number,The method contains a magic number: 4,131
alovoa,com.nonononoki.alovoa.service,SearchAndMessageServiceTest,test,Magic Number,The method contains a magic number: 100,131
alovoa,com.nonononoki.alovoa.service,SearchAndMessageServiceTest,test,Magic Number,The method contains a magic number: 16,131
alovoa,com.nonononoki.alovoa.service,SearchAndMessageServiceTest,test,Magic Number,The method contains a magic number: 2,131
alovoa,com.nonononoki.alovoa.service,SearchAndMessageServiceTest,test,Magic Number,The method contains a magic number: 100,131
alovoa,com.nonononoki.alovoa.service,SearchAndMessageServiceTest,test,Magic Number,The method contains a magic number: 16,131
alovoa,com.nonononoki.alovoa.service,SearchAndMessageServiceTest,test,Magic Number,The method contains a magic number: 3,131
alovoa,com.nonononoki.alovoa.service,SearchAndMessageServiceTest,test,Magic Number,The method contains a magic number: 2,131
alovoa,com.nonononoki.alovoa.service,SearchAndMessageServiceTest,test,Magic Number,The method contains a magic number: 3,131
alovoa,com.nonononoki.alovoa.service,SearchAndMessageServiceTest,test,Magic Number,The method contains a magic number: 2,131
alovoa,com.nonononoki.alovoa.service,SearchAndMessageServiceTest,test,Magic Number,The method contains a magic number: 2,131
alovoa,com.nonononoki.alovoa.service,SearchAndMessageServiceTest,test,Magic Number,The method contains a magic number: 50,131
alovoa,com.nonononoki.alovoa.service,SearchAndMessageServiceTest,test,Magic Number,The method contains a magic number: 2,131
alovoa,com.nonononoki.alovoa.service,SearchAndMessageServiceTest,test,Magic Number,The method contains a magic number: 50,131
alovoa,com.nonononoki.alovoa.service,SearchAndMessageServiceTest,test,Magic Number,The method contains a magic number: 50,131
alovoa,com.nonononoki.alovoa.service,SearchAndMessageServiceTest,test,Magic Number,The method contains a magic number: 2,131
alovoa,com.nonononoki.alovoa.service,SearchAndMessageServiceTest,test,Magic Number,The method contains a magic number: 3,131
alovoa,com.nonononoki.alovoa.service,SearchAndMessageServiceTest,test,Magic Number,The method contains a magic number: 2,131
alovoa,com.nonononoki.alovoa.service,SearchAndMessageServiceTest,test,Magic Number,The method contains a magic number: 3,131
alovoa,com.nonononoki.alovoa.service,SearchAndMessageServiceTest,test,Magic Number,The method contains a magic number: 2,131
alovoa,com.nonononoki.alovoa.service,SearchAndMessageServiceTest,test,Magic Number,The method contains a magic number: 3,131
alovoa,com.nonononoki.alovoa.service,SearchAndMessageServiceTest,test,Magic Number,The method contains a magic number: 50,131
alovoa,com.nonononoki.alovoa.service,SearchAndMessageServiceTest,test,Magic Number,The method contains a magic number: 2,131
alovoa,com.nonononoki.alovoa.service,SearchAndMessageServiceTest,test,Magic Number,The method contains a magic number: 0.45,131
alovoa,com.nonononoki.alovoa.service,SearchAndMessageServiceTest,test,Magic Number,The method contains a magic number: 50,131
alovoa,com.nonononoki.alovoa.service,SearchAndMessageServiceTest,test,Magic Number,The method contains a magic number: 2,131
alovoa,com.nonononoki.alovoa.service,SearchAndMessageServiceTest,test,Magic Number,The method contains a magic number: 0.46,131
alovoa,com.nonononoki.alovoa.service,SearchAndMessageServiceTest,test,Magic Number,The method contains a magic number: 50,131
alovoa,com.nonononoki.alovoa.service,SearchAndMessageServiceTest,test,Magic Number,The method contains a magic number: 2,131
alovoa,com.nonononoki.alovoa.service,SearchAndMessageServiceTest,test,Magic Number,The method contains a magic number: 50,131
alovoa,com.nonononoki.alovoa.service,SearchAndMessageServiceTest,test,Magic Number,The method contains a magic number: 50,131
alovoa,com.nonononoki.alovoa.service,SearchAndMessageServiceTest,test,Magic Number,The method contains a magic number: 50,131
alovoa,com.nonononoki.alovoa.service,SearchAndMessageServiceTest,test,Magic Number,The method contains a magic number: 2,131
alovoa,com.nonononoki.alovoa.service,SearchAndMessageServiceTest,test,Magic Number,The method contains a magic number: 50,131
alovoa,com.nonononoki.alovoa.service,SearchAndMessageServiceTest,test,Magic Number,The method contains a magic number: 50,131
alovoa,com.nonononoki.alovoa.service,SearchAndMessageServiceTest,test,Magic Number,The method contains a magic number: 50,131
alovoa,com.nonononoki.alovoa.service,SearchAndMessageServiceTest,test,Magic Number,The method contains a magic number: 50,131
alovoa,com.nonononoki.alovoa.service,SearchAndMessageServiceTest,test,Magic Number,The method contains a magic number: 2,131
alovoa,com.nonononoki.alovoa.service,SearchAndMessageServiceTest,test,Magic Number,The method contains a magic number: 2,131
alovoa,com.nonononoki.alovoa.service,SearchAndMessageServiceTest,test,Magic Number,The method contains a magic number: 2,131
alovoa,com.nonononoki.alovoa.service,SearchAndMessageServiceTest,test,Magic Number,The method contains a magic number: 2,131
alovoa,com.nonononoki.alovoa.service,SearchAndMessageServiceTest,test,Magic Number,The method contains a magic number: 2,131
alovoa,com.nonononoki.alovoa.service,SearchAndMessageServiceTest,test,Magic Number,The method contains a magic number: 2,131
alovoa,com.nonononoki.alovoa.service,SearchAndMessageServiceTest,test,Magic Number,The method contains a magic number: 3,131
alovoa,com.nonononoki.alovoa.service,NotificationServiceTest,before,Long Statement,The length of the statement "Mockito.when(mailService.sendMail(Mockito.any(String.class)`any(String.class)`any(String.class)`any(String.class))).thenReturn(true);" is 133.,75
alovoa,com.nonononoki.alovoa.service,ScheduleServiceTest,before,Long Statement,The length of the statement "Mockito.when(mailService.sendMail(Mockito.any(String.class)`any(String.class)`any(String.class)`any(String.class))).thenReturn(true);" is 133.,90
alovoa,com.nonononoki.alovoa.service,ScheduleServiceTest,test,Magic Number,The method contains a magic number: 2,103
alovoa,com.nonononoki.alovoa.service,ScheduleServiceTest,test,Magic Number,The method contains a magic number: 2,103
alovoa,com.nonononoki.alovoa.service,ScheduleServiceTest,test,Magic Number,The method contains a magic number: 2,103
alovoa,com.nonononoki.alovoa.service,ScheduleServiceTest,test,Magic Number,The method contains a magic number: 2,103
alovoa,com.nonononoki.alovoa.service,RegisterServiceTest,getTestUsers,Magic Number,The method contains a magic number: 2,115
alovoa,com.nonononoki.alovoa.service,RegisterServiceTest,getTestUsers,Magic Number,The method contains a magic number: 2,115
alovoa,com.nonononoki.alovoa.service,RegisterServiceTest,deleteAllUsers,Long Parameter List,The method has 5 parameters. ,170
alovoa,com.nonononoki.alovoa.service,PasswordServiceTest,before,Long Statement,The length of the statement "Mockito.when(mailService.sendMail(Mockito.any(String.class)`any(String.class)`any(String.class)`any(String.class))).thenReturn(true);" is 133.,79
alovoa,com.nonononoki.alovoa.service,AdminServiceTest,before,Long Statement,The length of the statement "Mockito.when(mailService.sendMail(Mockito.any(String.class)`any(String.class)`any(String.class)`any(String.class))).thenReturn(true);" is 133.,90
alovoa,com.nonononoki.alovoa.service,AdminServiceTest,test,Magic Number,The method contains a magic number: 10.00,103
alovoa,com.nonononoki.alovoa.service,UserServiceTest,before,Long Statement,The length of the statement "Mockito.when(mailService.sendMail(Mockito.any(String.class)`any(String.class)`any(String.class)`any(String.class))).thenReturn(true);" is 133.,85
alovoa,com.nonononoki.alovoa.service,UserServiceTest,test,Long Method,The method has 123 lines of code.,98
alovoa,com.nonononoki.alovoa.service,UserServiceTest,test,Long Statement,The length of the statement "String userDataString=new BufferedReader(new InputStreamReader(inputStream`StandardCharsets.UTF_8)).lines().collect(Collectors.joining("\n"));" is 142.,98
alovoa,com.nonononoki.alovoa.service,UserServiceTest,test,Long Statement,The length of the statement "assertEquals(objectMapper.writeValueAsString(authService.getCurrentUser().getDates())`objectMapper.writeValueAsString(gdpr.getDates()));" is 136.,98
alovoa,com.nonononoki.alovoa.service,UserServiceTest,test,Long Statement,The length of the statement "assertEquals(objectMapper.writeValueAsString(authService.getCurrentUser().getDonations())`objectMapper.writeValueAsString(gdpr.getDonations()));" is 144.,98
alovoa,com.nonononoki.alovoa.service,UserServiceTest,test,Long Statement,The length of the statement "assertEquals(objectMapper.writeValueAsString(authService.getCurrentUser().getGender())`objectMapper.writeValueAsString(gdpr.getGender()));" is 138.,98
alovoa,com.nonononoki.alovoa.service,UserServiceTest,test,Long Statement,The length of the statement "assertEquals(objectMapper.writeValueAsString(authService.getCurrentUser().getIntention())`objectMapper.writeValueAsString(gdpr.getIntention()));" is 144.,98
alovoa,com.nonononoki.alovoa.service,UserServiceTest,test,Magic Number,The method contains a magic number: 2,98
alovoa,com.nonononoki.alovoa.service,UserServiceTest,test,Magic Number,The method contains a magic number: 4,98
alovoa,com.nonononoki.alovoa.service,UserServiceTest,test,Magic Number,The method contains a magic number: 100,98
alovoa,com.nonononoki.alovoa.service,UserServiceTest,test,Magic Number,The method contains a magic number: 16,98
alovoa,com.nonononoki.alovoa.service,UserServiceTest,test,Magic Number,The method contains a magic number: 2,98
alovoa,com.nonononoki.alovoa.service,UserServiceTest,test,Magic Number,The method contains a magic number: 100,98
alovoa,com.nonononoki.alovoa.service,UserServiceTest,test,Magic Number,The method contains a magic number: 16,98
alovoa,com.nonononoki.alovoa.service,UserServiceTest,test,Magic Number,The method contains a magic number: 3,98
alovoa,com.nonononoki.alovoa.service,UserServiceTest,test,Magic Number,The method contains a magic number: 2,98
alovoa,com.nonononoki.alovoa.service,UserServiceTest,test,Magic Number,The method contains a magic number: 3,98
alovoa,com.nonononoki.alovoa.service,UserServiceTest,test,Magic Number,The method contains a magic number: 2,98
alovoa,com.nonononoki.alovoa.service,UserServiceTest,test,Magic Number,The method contains a magic number: 2,98
alovoa,com.nonononoki.alovoa.service,UserServiceTest,test,Magic Number,The method contains a magic number: 0.001,98
alovoa,com.nonononoki.alovoa.service,UserServiceTest,testGetInterestAutocomplete,Magic Number,The method contains a magic number: 2,257
alovoa,com.nonononoki.alovoa.service,UserServiceTest,testGetInterestAutocomplete,Magic Number,The method contains a magic number: 2,257
alovoa,com.nonononoki.alovoa.service,UserServiceTest,testGetInterestAutocomplete,Magic Number,The method contains a magic number: 2,257
alovoa,com.nonononoki.alovoa.service,UserServiceTest,testGetInterestAutocomplete,Magic Number,The method contains a magic number: 2,257
alovoa,com.nonononoki.alovoa.service,UserServiceTest,testGetInterestAutocomplete,Magic Number,The method contains a magic number: 2,257
alovoa,com.nonononoki.alovoa.service,UserServiceTest,testGetInterestAutocomplete,Magic Number,The method contains a magic number: 2,257
alovoa,com.nonononoki.alovoa.service,UserServiceTest,testGetInterestAutocomplete,Magic Number,The method contains a magic number: 3,257
alovoa,com.nonononoki.alovoa.service,UserServiceTest,testGetInterestAutocomplete,Magic Number,The method contains a magic number: 4,257
alovoa,com.nonononoki.alovoa.service,UserServiceTest,testVerificationProcess,Magic Number,The method contains a magic number: 2,316
alovoa,com.nonononoki.alovoa.service,DonateServiceTest,before,Long Statement,The length of the statement "Mockito.when(mailService.sendMail(Mockito.any(String.class)`any(String.class)`any(String.class)`any(String.class))).thenReturn(true);" is 133.,81
alovoa,com.nonononoki.alovoa.service,DonateServiceTest,test,Magic Number,The method contains a magic number: 0.001,94
alovoa,com.nonononoki.alovoa.service,DonateServiceTest,test,Magic Number,The method contains a magic number: 15,94
alovoa,com.nonononoki.alovoa.service,DonateServiceTest,test,Magic Number,The method contains a magic number: 2,94
alovoa,com.nonononoki.alovoa.service,DonateServiceTest,testWithRealDataKofi,Long Statement,The length of the statement "String kofiString="{\"email\":\"" + user2.getEmail() + "\"`\"message_id\":\"27c5906e-8a77-4949-844c-a08d13f70340\"`\"message\":\""+ user2.getEmail()+ "\"`\"timestamp\":\"2022-06-26T08:24:19Z\"`\"type\":\"Donation\"`\"from_name\":\"Somebody\"`\"amount\":\"3.00\"`\"url\":\"https://ko-fi.com/Home/CoffeeShop?txid=e0397a56-594f-4764-8f80-761baafcdbf4&readToken=e274f1de-5fb3-4e38-86df-4af1de6bb3c9\"`\"kofi_transaction_id\":\"e0397a56-594f-4764-8f80-761baafcdbf5\"`\"_public\":false}";" is 482.,130
alovoa,com.nonononoki.alovoa.service,DonateServiceTest,testWithRealDataKofi,Magic Number,The method contains a magic number: 2,130
alovoa,com.nonononoki.alovoa.service,RegisterService,registerOauth,Complex Conditional,The conditional expression referrer != null && referrer.isConfirmed() && referrer.getNumberReferred() < referralMax is complex.,156
alovoa,com.nonononoki.alovoa.service,RegisterService,registerConfirm,Complex Conditional,The conditional expression referrer != null && referrer.isConfirmed() && referrer.getNumberReferred() < referralMax is complex.,217
alovoa,com.nonononoki.alovoa.service,RegisterService,registerBase,Complex Method,Cyclomatic complexity of the method is 9,264
alovoa,com.nonononoki.alovoa.service,AdminService,banUser,Long Statement,The length of the statement "UserDeleteParams userDeleteParam=UserDeleteParams.builder().conversationRepo(conversationRepo).userBlockRepo(userBlockRepo).userHideRepo(userHideRepo).userLikeRepo(userLikeRepo).userNotificationRepo(userNotificationRepo).userRepo(userRepo).userReportRepo(userReportRepo).userVerificationPictureRepo(userVerificationPictureRepo).build();" is 336.,138
alovoa,com.nonononoki.alovoa.service,AdminService,deleteAccount,Long Statement,The length of the statement "UserDeleteParams userDeleteParam=UserDeleteParams.builder().conversationRepo(conversationRepo).userBlockRepo(userBlockRepo).userHideRepo(userHideRepo).userLikeRepo(userLikeRepo).userNotificationRepo(userNotificationRepo).userRepo(userRepo).userReportRepo(userReportRepo).build();" is 279.,199
alovoa,com.nonononoki.alovoa.service,UserService,convertAudioMp3Wav,Magic Number,The method contains a magic number: 16000,467
alovoa,com.nonononoki.alovoa.service,UserService,convertAudioMp3Wav,Magic Number,The method contains a magic number: 8,467
alovoa,com.nonononoki.alovoa.service,UserService,deleteAccountConfirm,Long Statement,The length of the statement "UserDeleteParams userDeleteParam=UserDeleteParams.builder().conversationRepo(conversationRepo).userBlockRepo(userBlockRepo).userHideRepo(userHideRepo).userLikeRepo(userLikeRepo).userNotificationRepo(userNotificationRepo).userRepo(userRepo).userReportRepo(userReportRepo).userVerificationPictureRepo(userVerificationPictureRepo).build();" is 336.,493
alovoa,com.nonononoki.alovoa.service,UserService,updateIntention,Long Statement,The length of the statement "if (user.getDates().getIntentionChangeDate() == null || now.getTime() >= user.getDates().getIntentionChangeDate().getTime() + intentionDelay) {" is 143.,607
alovoa,com.nonononoki.alovoa.service,UserService,updateUserMiscInfo,Long Statement,The length of the statement "list.removeIf(o -> o.getValue() != infoValue && o.getValue() >= UserMiscInfo.KIDS_NO && o.getValue() <= UserMiscInfo.KIDS_YES);" is 127.,661
alovoa,com.nonononoki.alovoa.service,UserService,updateUserMiscInfo,Long Statement,The length of the statement "list.removeIf(o -> o.getValue() != infoValue && o.getValue() >= UserMiscInfo.RELATIONSHIP_SINGLE && o.getValue() <= UserMiscInfo.RELATIONSHIP_OTHER);" is 149.,661
alovoa,com.nonononoki.alovoa.service,UserService,addInterest,Complex Conditional,The conditional expression value.length() < interestMinCharSize || value.length() > interestMaxCharSize || user.getInterests().size() >= interestSize is complex.,687
alovoa,com.nonononoki.alovoa.service,UserService,addInterest,Long Statement,The length of the statement "if (value.length() < interestMinCharSize || value.length() > interestMaxCharSize || user.getInterests().size() >= interestSize) {" is 129.,687
alovoa,com.nonononoki.alovoa.service,UserService,getInterestAutocomplete,Long Statement,The length of the statement "List<UserInterestDto> interests=userInterestRepo.getInterestAutocomplete(name`interestTexts`PageRequest.of(0`interestAutocompleteMax));" is 135.,732
alovoa,com.nonononoki.alovoa.service,UserService,adjustPicture,Magic Number,The method contains a magic number: 2,793
alovoa,com.nonononoki.alovoa.service,UserService,adjustPicture,Magic Number,The method contains a magic number: 2,793
alovoa,com.nonononoki.alovoa.service,UserService,adjustPicture,Magic Number,The method contains a magic number: 2,793
alovoa,com.nonononoki.alovoa.service,UserService,adjustPicture,Magic Number,The method contains a magic number: 2,793
alovoa,com.nonononoki.alovoa.service,UserService,hasNewMessage,Complex Conditional,The conditional expression user != null && user.getDates().getMessageDate() != null && user.getDates().getMessageCheckedDate() != null is complex.,1009
